H_mean,S_mean,V_mean,H_std,S_std,V_std,Gray_mean,Gray_std,Edge_density,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,label
0.253,0.608,0.426,0.02,0.138,0.146,0.361,0.138,0.125,0.086,0.082,0.052,0.084,0.161,0.119,0.067,0.085,0.265,belalang
0.271,0.365,0.705,0.142,0.322,0.233,0.655,0.265,0.155,0.081,0.081,0.035,0.083,0.093,0.12,0.056,0.099,0.351,tanpaserangga
0.222,0.546,0.277,0.082,0.211,0.114,0.231,0.099,0.066,0.049,0.077,0.044,0.082,0.127,0.107,0.074,0.083,0.357,belalang
0.238,0.473,0.437,0.042,0.127,0.13,0.385,0.12,0.064,0.08,0.097,0.061,0.091,0.127,0.1,0.071,0.103,0.27,belalang
0.374,0.493,0.591,0.115,0.327,0.113,0.511,0.125,0.078,0.067,0.07,0.057,0.108,0.142,0.145,0.076,0.092,0.242,tanpaserangga
0.254,0.453,0.442,0.069,0.156,0.187,0.397,0.183,0.083,0.061,0.091,0.054,0.1,0.16,0.124,0.073,0.093,0.244,belalang
0.246,0.606,0.505,0.016,0.082,0.092,0.428,0.084,0.111,0.059,0.078,0.051,0.096,0.213,0.129,0.077,0.077,0.22,belalang
0.223,0.461,0.481,0.074,0.177,0.21,0.421,0.193,0.093,0.037,0.053,0.051,0.119,0.239,0.141,0.07,0.054,0.237,belalang
0.249,0.57,0.659,0.017,0.075,0.115,0.562,0.107,0.103,0.064,0.083,0.053,0.097,0.187,0.126,0.077,0.082,0.231,belalang
0.21,0.397,0.361,0.085,0.156,0.155,0.32,0.139,0.074,0.062,0.086,0.046,0.079,0.139,0.089,0.064,0.083,0.352,belalang
0.22,0.336,0.531,0.078,0.206,0.249,0.486,0.246,0.124,0.088,0.078,0.048,0.072,0.086,0.091,0.064,0.088,0.386,tanpaserangga
0.231,0.452,0.514,0.086,0.186,0.209,0.441,0.181,0.033,0.026,0.063,0.039,0.108,0.184,0.14,0.076,0.069,0.296,belalang
0.251,0.505,0.43,0.046,0.14,0.138,0.375,0.134,0.13,0.088,0.083,0.053,0.09,0.134,0.112,0.072,0.088,0.28,belalang
0.252,0.666,0.402,0.017,0.102,0.146,0.334,0.131,0.098,0.045,0.073,0.048,0.104,0.259,0.148,0.082,0.069,0.173,belalang
0.243,0.442,0.609,0.035,0.083,0.158,0.54,0.145,0.106,0.073,0.096,0.059,0.09,0.166,0.108,0.069,0.097,0.242,belalang
0.267,0.398,0.484,0.099,0.181,0.227,0.441,0.232,0.054,0.049,0.076,0.049,0.103,0.173,0.142,0.078,0.086,0.244,belalang
0.234,0.456,0.382,0.049,0.062,0.091,0.336,0.086,0.073,0.068,0.096,0.051,0.091,0.148,0.111,0.068,0.098,0.269,belalang
0.252,0.666,0.402,0.017,0.102,0.146,0.334,0.131,0.099,0.045,0.073,0.048,0.106,0.257,0.148,0.081,0.071,0.171,belalang
0.303,0.521,0.597,0.035,0.202,0.137,0.5,0.139,0.121,0.052,0.08,0.057,0.117,0.197,0.14,0.074,0.081,0.202,tanpaserangga
0.238,0.473,0.437,0.042,0.127,0.13,0.385,0.12,0.064,0.08,0.097,0.061,0.091,0.127,0.1,0.071,0.103,0.27,belalang
0.228,0.383,0.597,0.067,0.127,0.22,0.541,0.217,0.089,0.053,0.074,0.055,0.109,0.181,0.137,0.076,0.08,0.234,belalang
0.252,0.666,0.402,0.017,0.102,0.146,0.334,0.131,0.099,0.045,0.073,0.048,0.106,0.257,0.148,0.081,0.071,0.171,belalang
0.202,0.249,0.55,0.154,0.248,0.212,0.526,0.23,0.066,0.102,0.094,0.047,0.067,0.068,0.082,0.063,0.107,0.37,tanpaserangga
0.267,0.398,0.484,0.099,0.181,0.227,0.441,0.232,0.054,0.049,0.076,0.049,0.103,0.173,0.142,0.078,0.086,0.244,belalang
0.202,0.249,0.55,0.154,0.248,0.212,0.526,0.23,0.066,0.102,0.094,0.047,0.067,0.068,0.082,0.063,0.107,0.37,tanpaserangga
0.262,0.402,0.562,0.053,0.136,0.184,0.505,0.185,0.083,0.073,0.08,0.056,0.093,0.148,0.126,0.071,0.094,0.259,belalang
0.242,0.351,0.615,0.023,0.193,0.187,0.568,0.204,0.12,0.096,0.092,0.051,0.077,0.094,0.098,0.073,0.098,0.32,tanpaserangga
0.246,0.125,0.716,0.186,0.191,0.184,0.701,0.201,0.066,0.078,0.078,0.051,0.086,0.112,0.115,0.076,0.099,0.305,tanpaserangga
