H_mean,S_mean,V_mean,H_std,S_std,V_std,Gray_mean,Gray_std,Edge_density,LBP_0,LBP_1,LBP_2,LBP_3,LBP_4,LBP_5,LBP_6,LBP_7,LBP_8,label
0.236,0.564,0.366,0.029,0.134,0.123,0.317,0.115,0.07,0.083,0.101,0.051,0.085,0.138,0.101,0.066,0.099,0.276,belalang
0.199,0.172,0.557,0.217,0.231,0.26,0.535,0.269,0.085,0.072,0.071,0.048,0.08,0.093,0.098,0.065,0.089,0.384,tanpaserangga
0.4,0.13,0.716,0.096,0.198,0.207,0.699,0.221,0.052,0.043,0.055,0.034,0.11,0.143,0.184,0.069,0.098,0.264,tanpaserangga
0.239,0.45,0.411,0.036,0.065,0.082,0.364,0.079,0.07,0.074,0.098,0.052,0.09,0.137,0.102,0.07,0.1,0.275,belalang
0.267,0.464,0.421,0.049,0.166,0.158,0.373,0.159,0.072,0.072,0.082,0.052,0.091,0.148,0.125,0.073,0.094,0.263,belalang
0.241,0.447,0.403,0.031,0.08,0.09,0.358,0.085,0.09,0.069,0.103,0.052,0.09,0.14,0.108,0.069,0.094,0.275,belalang
0.252,0.666,0.402,0.017,0.102,0.146,0.334,0.131,0.099,0.045,0.073,0.048,0.106,0.257,0.148,0.081,0.071,0.171,belalang
0.237,0.361,0.608,0.146,0.323,0.295,0.559,0.306,0.162,0.072,0.079,0.037,0.08,0.1,0.105,0.049,0.091,0.388,tanpaserangga
0.248,0.92,0.47,0.019,0.111,0.106,0.361,0.096,0.113,0.079,0.09,0.048,0.083,0.166,0.114,0.066,0.092,0.262,belalang
0.266,0.201,0.669,0.273,0.244,0.222,0.648,0.239,0.066,0.065,0.072,0.044,0.093,0.118,0.142,0.066,0.099,0.301,tanpaserangga
0.262,0.19,0.631,0.105,0.238,0.212,0.61,0.232,0.06,0.084,0.086,0.047,0.08,0.085,0.102,0.071,0.108,0.338,tanpaserangga
0.258,0.545,0.4,0.016,0.063,0.05,0.34,0.051,0.029,0.047,0.074,0.06,0.112,0.149,0.139,0.094,0.086,0.239,belalang
0.248,0.512,0.537,0.018,0.1,0.138,0.469,0.135,0.099,0.052,0.072,0.062,0.119,0.214,0.138,0.08,0.071,0.192,belalang
0.252,0.924,0.374,0.022,0.097,0.098,0.284,0.082,0.063,0.066,0.085,0.052,0.095,0.17,0.121,0.066,0.094,0.251,belalang
0.252,0.924,0.374,0.022,0.097,0.098,0.284,0.082,0.063,0.066,0.085,0.052,0.095,0.17,0.121,0.066,0.094,0.251,belalang
0.236,0.461,0.456,0.07,0.167,0.185,0.412,0.189,0.129,0.07,0.088,0.047,0.088,0.166,0.122,0.071,0.083,0.266,belalang
0.213,0.446,0.397,0.085,0.194,0.194,0.346,0.173,0.096,0.055,0.08,0.049,0.084,0.167,0.107,0.063,0.083,0.314,belalang
0.254,0.511,0.484,0.033,0.121,0.134,0.419,0.12,0.115,0.102,0.089,0.063,0.086,0.106,0.093,0.071,0.095,0.295,belalang
0.297,0.205,0.694,0.271,0.24,0.207,0.669,0.228,0.095,0.072,0.07,0.04,0.098,0.12,0.137,0.08,0.097,0.286,tanpaserangga
0.246,0.125,0.716,0.186,0.191,0.184,0.701,0.201,0.066,0.078,0.078,0.051,0.086,0.112,0.115,0.076,0.099,0.305,tanpaserangga
0.303,0.474,0.774,0.035,0.177,0.163,0.659,0.165,0.142,0.053,0.081,0.057,0.121,0.197,0.14,0.071,0.083,0.197,tanpaserangga
0.258,0.484,0.539,0.016,0.053,0.06,0.467,0.061,0.037,0.05,0.076,0.062,0.115,0.151,0.134,0.093,0.084,0.234,belalang
0.248,0.92,0.47,0.019,0.111,0.106,0.361,0.096,0.111,0.079,0.09,0.048,0.082,0.167,0.114,0.068,0.091,0.262,belalang
0.258,0.545,0.4,0.016,0.063,0.05,0.34,0.051,0.029,0.047,0.074,0.06,0.112,0.149,0.139,0.094,0.086,0.239,belalang
0.232,0.233,0.764,0.193,0.287,0.269,0.74,0.294,0.104,0.06,0.065,0.022,0.062,0.09,0.129,0.035,0.085,0.451,tanpaserangga
0.218,0.408,0.383,0.094,0.195,0.216,0.341,0.201,0.084,0.046,0.082,0.044,0.09,0.169,0.113,0.066,0.084,0.307,belalang
0.228,0.45,0.555,0.042,0.124,0.191,0.496,0.184,0.143,0.07,0.082,0.053,0.094,0.175,0.135,0.071,0.086,0.233,belalang
0.244,0.571,0.466,0.015,0.099,0.097,0.401,0.093,0.021,0.073,0.092,0.066,0.101,0.123,0.103,0.083,0.098,0.26,belalang
0.251,0.505,0.43,0.046,0.14,0.138,0.375,0.134,0.13,0.088,0.083,0.053,0.09,0.134,0.112,0.072,0.088,0.28,belalang
0.245,0.863,0.473,0.019,0.127,0.135,0.373,0.121,0.111,0.082,0.089,0.049,0.09,0.165,0.11,0.06,0.091,0.264,belalang
0.228,0.605,0.357,0.075,0.217,0.178,0.297,0.155,0.096,0.038,0.052,0.043,0.1,0.268,0.147,0.071,0.054,0.228,belalang
0.269,0.451,0.508,0.04,0.096,0.072,0.438,0.068,0.017,0.04,0.081,0.063,0.128,0.167,0.142,0.088,0.088,0.202,belalang
0.247,0.445,0.452,0.067,0.158,0.191,0.405,0.187,0.079,0.054,0.078,0.056,0.107,0.183,0.139,0.077,0.085,0.221,belalang
0.229,0.826,0.361,0.077,0.289,0.151,0.273,0.118,0.108,0.08,0.082,0.047,0.076,0.132,0.092,0.061,0.085,0.346,belalang
0.292,0.741,0.441,0.076,0.33,0.145,0.354,0.132,0.099,0.082,0.087,0.048,0.089,0.125,0.115,0.068,0.097,0.29,tanpaserangga
0.195,0.233,0.625,0.105,0.257,0.229,0.602,0.247,0.088,0.068,0.075,0.041,0.093,0.12,0.142,0.074,0.1,0.286,tanpaserangga
0.261,0.512,0.588,0.021,0.095,0.087,0.503,0.079,0.026,0.039,0.082,0.048,0.108,0.182,0.146,0.086,0.086,0.223,belalang
0.267,0.464,0.421,0.049,0.166,0.158,0.373,0.159,0.071,0.072,0.081,0.051,0.092,0.149,0.123,0.073,0.094,0.265,belalang
0.254,0.453,0.442,0.068,0.156,0.187,0.397,0.183,0.083,0.062,0.091,0.053,0.101,0.16,0.125,0.073,0.094,0.242,belalang
0.23,0.46,0.435,0.08,0.188,0.19,0.377,0.167,0.11,0.083,0.076,0.06,0.089,0.115,0.093,0.063,0.084,0.337,belalang
0.33,0.647,0.382,0.099,0.346,0.18,0.313,0.156,0.057,0.063,0.075,0.045,0.105,0.146,0.146,0.069,0.089,0.261,tanpaserangga
0.232,0.447,0.522,0.086,0.182,0.209,0.448,0.181,0.036,0.027,0.065,0.04,0.102,0.19,0.134,0.075,0.073,0.293,belalang
0.233,0.504,0.403,0.077,0.183,0.185,0.344,0.163,0.074,0.029,0.053,0.044,0.111,0.234,0.156,0.082,0.055,0.235,belalang
0.177,0.195,0.632,0.143,0.224,0.206,0.611,0.223,0.053,0.079,0.081,0.05,0.085,0.096,0.105,0.072,0.101,0.331,tanpaserangga
0.177,0.195,0.632,0.143,0.224,0.206,0.611,0.223,0.053,0.079,0.081,0.05,0.085,0.096,0.105,0.072,0.101,0.331,tanpaserangga
0.208,0.456,0.396,0.08,0.203,0.191,0.349,0.174,0.15,0.066,0.088,0.039,0.074,0.152,0.103,0.06,0.083,0.335,belalang
0.252,0.618,0.316,0.013,0.072,0.053,0.265,0.053,0.05,0.065,0.083,0.056,0.093,0.126,0.111,0.081,0.096,0.289,belalang
0.252,0.579,0.541,0.017,0.083,0.175,0.46,0.158,0.117,0.049,0.071,0.051,0.109,0.259,0.148,0.077,0.068,0.168,belalang
0.232,0.539,0.375,0.036,0.143,0.126,0.328,0.122,0.07,0.082,0.096,0.048,0.086,0.144,0.104,0.067,0.095,0.279,belalang
0.2,0.466,0.354,0.084,0.221,0.198,0.311,0.182,0.118,0.055,0.071,0.043,0.078,0.182,0.125,0.064,0.069,0.314,belalang
0.292,0.741,0.441,0.076,0.33,0.145,0.354,0.132,0.102,0.082,0.086,0.05,0.089,0.125,0.115,0.068,0.096,0.289,tanpaserangga
0.309,0.201,0.702,0.247,0.232,0.213,0.676,0.233,0.092,0.064,0.067,0.043,0.107,0.119,0.148,0.083,0.104,0.265,tanpaserangga
0.258,0.553,0.452,0.019,0.09,0.138,0.386,0.126,0.061,0.041,0.067,0.056,0.117,0.219,0.164,0.091,0.07,0.174,belalang
0.236,0.51,0.459,0.026,0.125,0.129,0.405,0.124,0.144,0.082,0.096,0.046,0.086,0.148,0.116,0.065,0.096,0.265,belalang
0.234,0.519,0.425,0.081,0.193,0.215,0.359,0.188,0.104,0.075,0.074,0.053,0.086,0.127,0.101,0.063,0.08,0.342,belalang
0.234,0.437,0.438,0.049,0.074,0.104,0.388,0.099,0.077,0.063,0.098,0.05,0.091,0.175,0.114,0.069,0.097,0.244,belalang
0.243,0.5,0.459,0.035,0.111,0.132,0.401,0.121,0.089,0.069,0.095,0.057,0.089,0.167,0.107,0.071,0.098,0.246,belalang
0.204,0.483,0.325,0.083,0.217,0.165,0.283,0.149,0.077,0.065,0.086,0.045,0.078,0.143,0.096,0.06,0.086,0.341,belalang
0.251,0.297,0.781,0.203,0.336,0.229,0.747,0.262,0.099,0.058,0.062,0.025,0.081,0.084,0.148,0.05,0.098,0.394,tanpaserangga
0.303,0.521,0.597,0.035,0.202,0.137,0.5,0.139,0.121,0.052,0.08,0.057,0.117,0.197,0.14,0.074,0.081,0.202,tanpaserangga
0.236,0.541,0.554,0.072,0.243,0.18,0.492,0.194,0.173,0.079,0.095,0.052,0.091,0.148,0.107,0.063,0.098,0.267,tanpaserangga
0.213,0.474,0.584,0.075,0.202,0.225,0.514,0.206,0.105,0.065,0.068,0.052,0.088,0.152,0.109,0.071,0.076,0.319,belalang
0.244,0.445,0.553,0.038,0.067,0.192,0.489,0.176,0.119,0.079,0.084,0.064,0.098,0.153,0.121,0.072,0.086,0.244,belalang
0.062,0.141,0.944,0.099,0.238,0.112,0.922,0.145,0.065,0.023,0.027,0.011,0.031,0.044,0.073,0.02,0.036,0.735,tanpaserangga
0.4,0.13,0.716,0.096,0.198,0.207,0.699,0.221,0.052,0.043,0.055,0.034,0.11,0.143,0.184,0.069,0.098,0.264,tanpaserangga
0.179,0.23,0.54,0.105,0.259,0.286,0.517,0.295,0.098,0.067,0.064,0.039,0.087,0.098,0.126,0.07,0.086,0.364,tanpaserangga
0.255,0.548,0.409,0.015,0.065,0.05,0.349,0.051,0.032,0.069,0.086,0.062,0.097,0.116,0.108,0.082,0.096,0.284,belalang
0.289,0.611,0.352,0.136,0.384,0.202,0.286,0.17,0.07,0.064,0.065,0.046,0.093,0.14,0.118,0.062,0.081,0.332,tanpaserangga
0.223,0.746,0.444,0.074,0.319,0.186,0.356,0.169,0.104,0.067,0.07,0.044,0.078,0.171,0.117,0.064,0.077,0.312,belalang
0.254,0.511,0.484,0.033,0.121,0.134,0.419,0.12,0.114,0.102,0.089,0.064,0.084,0.108,0.092,0.071,0.094,0.296,belalang
0.118,0.171,0.816,0.136,0.219,0.224,0.793,0.248,0.074,0.04,0.039,0.025,0.055,0.073,0.105,0.032,0.059,0.572,tanpaserangga
0.25,0.629,0.5,0.017,0.088,0.096,0.419,0.09,0.096,0.061,0.084,0.05,0.096,0.183,0.129,0.079,0.084,0.232,belalang
0.234,0.456,0.382,0.049,0.062,0.091,0.336,0.086,0.073,0.068,0.096,0.052,0.092,0.148,0.112,0.068,0.099,0.266,belalang
0.223,0.827,0.422,0.077,0.295,0.175,0.324,0.143,0.117,0.067,0.078,0.042,0.078,0.17,0.104,0.061,0.081,0.32,belalang
0.235,0.453,0.609,0.026,0.102,0.153,0.544,0.148,0.169,0.082,0.096,0.048,0.085,0.151,0.114,0.063,0.095,0.266,belalang
0.323,0.531,0.4,0.154,0.392,0.164,0.336,0.153,0.08,0.064,0.067,0.045,0.094,0.121,0.13,0.063,0.084,0.331,tanpaserangga
0.244,0.511,0.412,0.036,0.084,0.161,0.359,0.148,0.093,0.079,0.081,0.061,0.097,0.151,0.121,0.077,0.084,0.248,belalang
0.251,0.297,0.781,0.203,0.336,0.229,0.747,0.262,0.099,0.058,0.062,0.025,0.081,0.084,0.148,0.05,0.098,0.394,tanpaserangga
0.105,0.206,0.838,0.118,0.254,0.209,0.809,0.238,0.119,0.047,0.04,0.021,0.04,0.046,0.085,0.03,0.054,0.637,tanpaserangga
0.275,0.211,0.563,0.285,0.251,0.277,0.539,0.286,0.1,0.065,0.066,0.045,0.089,0.101,0.119,0.069,0.085,0.362,tanpaserangga
0.216,0.151,0.676,0.223,0.213,0.282,0.646,0.29,0.087,0.053,0.066,0.031,0.084,0.107,0.125,0.062,0.093,0.38,tanpaserangga
0.25,0.629,0.5,0.017,0.088,0.096,0.419,0.09,0.096,0.06,0.084,0.051,0.095,0.183,0.129,0.078,0.085,0.234,belalang
0.2,0.155,0.89,0.214,0.258,0.179,0.871,0.208,0.058,0.045,0.063,0.012,0.054,0.06,0.126,0.031,0.074,0.536,tanpaserangga
0.211,0.392,0.356,0.083,0.162,0.156,0.317,0.141,0.105,0.056,0.087,0.046,0.079,0.152,0.098,0.065,0.085,0.332,belalang
0.262,0.19,0.631,0.105,0.238,0.212,0.61,0.232,0.059,0.085,0.084,0.046,0.081,0.084,0.102,0.07,0.107,0.34,tanpaserangga
0.261,0.512,0.588,0.021,0.095,0.087,0.503,0.079,0.026,0.037,0.083,0.047,0.111,0.18,0.145,0.086,0.086,0.223,belalang
0.374,0.493,0.591,0.115,0.327,0.113,0.511,0.125,0.078,0.067,0.07,0.057,0.108,0.142,0.145,0.076,0.092,0.242,tanpaserangga
0.258,0.493,0.601,0.02,0.072,0.166,0.522,0.151,0.082,0.042,0.069,0.058,0.12,0.225,0.161,0.089,0.065,0.173,belalang
0.127,0.178,0.841,0.151,0.217,0.203,0.813,0.231,0.109,0.047,0.042,0.024,0.058,0.057,0.102,0.042,0.064,0.565,tanpaserangga
0.296,0.213,0.648,0.286,0.25,0.207,0.624,0.226,0.086,0.075,0.071,0.049,0.1,0.121,0.128,0.078,0.1,0.278,tanpaserangga
0.238,0.199,0.578,0.262,0.245,0.289,0.557,0.297,0.07,0.06,0.067,0.038,0.087,0.105,0.116,0.064,0.089,0.373,tanpaserangga
0.229,0.248,0.78,0.195,0.292,0.239,0.75,0.269,0.096,0.056,0.074,0.022,0.076,0.107,0.142,0.047,0.097,0.378,tanpaserangga
0.222,0.521,0.792,0.042,0.139,0.128,0.701,0.129,0.152,0.097,0.095,0.054,0.08,0.118,0.098,0.071,0.095,0.292,belalang
0.309,0.202,0.702,0.247,0.232,0.213,0.676,0.233,0.094,0.064,0.066,0.044,0.108,0.119,0.148,0.081,0.104,0.265,tanpaserangga
0.374,0.553,0.444,0.114,0.368,0.094,0.377,0.104,0.063,0.066,0.069,0.053,0.107,0.142,0.148,0.077,0.093,0.244,tanpaserangga
0.215,0.455,0.346,0.087,0.184,0.195,0.3,0.173,0.087,0.061,0.069,0.052,0.09,0.152,0.111,0.066,0.073,0.327,belalang
0.26,0.509,0.633,0.022,0.076,0.201,0.545,0.18,0.115,0.094,0.092,0.059,0.087,0.124,0.097,0.074,0.093,0.28,belalang
0.271,0.365,0.705,0.142,0.322,0.233,0.655,0.265,0.154,0.08,0.082,0.036,0.083,0.092,0.12,0.054,0.101,0.352,tanpaserangga
0.276,0.203,0.606,0.269,0.241,0.288,0.582,0.297,0.102,0.065,0.064,0.041,0.091,0.11,0.115,0.069,0.09,0.354,tanpaserangga
0.244,0.571,0.466,0.015,0.099,0.097,0.401,0.093,0.021,0.073,0.092,0.066,0.101,0.123,0.103,0.083,0.098,0.26,belalang
0.215,0.503,0.409,0.08,0.206,0.178,0.352,0.159,0.042,0.059,0.079,0.057,0.093,0.13,0.096,0.072,0.084,0.33,belalang
0.254,0.511,0.484,0.033,0.121,0.134,0.419,0.12,0.115,0.102,0.089,0.063,0.086,0.106,0.093,0.071,0.095,0.295,belalang
0.252,0.618,0.316,0.013,0.072,0.053,0.265,0.053,0.05,0.065,0.084,0.055,0.095,0.124,0.11,0.081,0.096,0.29,belalang
0.247,0.807,0.505,0.017,0.236,0.123,0.408,0.134,0.109,0.093,0.085,0.051,0.075,0.138,0.107,0.064,0.091,0.295,belalang
0.228,0.471,0.499,0.052,0.091,0.16,0.44,0.152,0.115,0.075,0.083,0.063,0.097,0.16,0.115,0.073,0.087,0.248,belalang
0.4,0.13,0.716,0.097,0.198,0.207,0.699,0.221,0.052,0.043,0.056,0.033,0.109,0.143,0.184,0.07,0.097,0.264,tanpaserangga
0.251,0.506,0.429,0.046,0.14,0.138,0.375,0.134,0.131,0.087,0.084,0.053,0.089,0.134,0.114,0.07,0.089,0.28,belalang
0.267,0.464,0.421,0.049,0.166,0.158,0.373,0.159,0.072,0.072,0.082,0.052,0.091,0.148,0.125,0.073,0.094,0.263,belalang
0.241,0.447,0.403,0.031,0.08,0.09,0.358,0.085,0.09,0.069,0.103,0.052,0.09,0.14,0.108,0.069,0.094,0.275,belalang
0.267,0.464,0.421,0.049,0.166,0.158,0.373,0.159,0.072,0.072,0.082,0.052,0.091,0.148,0.125,0.073,0.094,0.263,belalang
0.292,0.741,0.441,0.076,0.33,0.145,0.354,0.132,0.099,0.082,0.087,0.048,0.089,0.125,0.115,0.068,0.097,0.29,tanpaserangga
0.292,0.741,0.441,0.076,0.33,0.145,0.354,0.132,0.099,0.082,0.087,0.048,0.089,0.125,0.115,0.068,0.097,0.29,tanpaserangga
0.177,0.195,0.632,0.142,0.224,0.206,0.611,0.223,0.053,0.079,0.082,0.049,0.085,0.096,0.105,0.073,0.101,0.33,tanpaserangga
0.232,0.233,0.764,0.193,0.287,0.269,0.74,0.294,0.105,0.06,0.065,0.022,0.062,0.09,0.129,0.035,0.085,0.451,tanpaserangga
0.235,0.388,0.581,0.048,0.073,0.11,0.522,0.111,0.1,0.063,0.098,0.051,0.095,0.172,0.115,0.067,0.097,0.241,belalang
0.254,0.915,0.402,0.016,0.105,0.094,0.304,0.079,0.103,0.094,0.096,0.05,0.075,0.136,0.097,0.064,0.096,0.292,belalang
0.218,0.339,0.527,0.077,0.203,0.244,0.482,0.241,0.132,0.09,0.084,0.044,0.07,0.086,0.086,0.066,0.086,0.388,tanpaserangga
0.232,0.158,0.764,0.218,0.213,0.166,0.732,0.194,0.073,0.061,0.066,0.034,0.095,0.114,0.148,0.066,0.104,0.313,tanpaserangga
0.374,0.553,0.444,0.114,0.368,0.094,0.377,0.104,0.063,0.066,0.069,0.053,0.107,0.142,0.148,0.077,0.093,0.244,tanpaserangga
0.242,0.375,0.453,0.053,0.202,0.22,0.419,0.229,0.086,0.059,0.075,0.05,0.1,0.181,0.14,0.078,0.094,0.223,belalang
0.214,0.514,0.472,0.086,0.274,0.222,0.414,0.213,0.174,0.071,0.085,0.048,0.085,0.14,0.098,0.057,0.086,0.329,tanpaserangga
0.355,0.128,0.633,0.153,0.199,0.299,0.617,0.304,0.062,0.038,0.048,0.027,0.108,0.123,0.17,0.063,0.087,0.336,tanpaserangga
0.234,0.437,0.438,0.049,0.074,0.104,0.388,0.099,0.078,0.063,0.098,0.05,0.091,0.175,0.114,0.069,0.097,0.244,belalang
0.208,0.462,0.395,0.08,0.193,0.187,0.346,0.168,0.148,0.071,0.082,0.04,0.071,0.152,0.101,0.06,0.083,0.341,belalang
0.206,0.345,0.621,0.091,0.155,0.243,0.571,0.247,0.062,0.045,0.067,0.052,0.101,0.165,0.136,0.071,0.078,0.286,belalang
0.242,0.375,0.453,0.053,0.202,0.22,0.419,0.229,0.086,0.059,0.075,0.05,0.1,0.181,0.14,0.078,0.094,0.223,belalang
0.208,0.493,0.323,0.081,0.221,0.169,0.281,0.153,0.084,0.066,0.085,0.046,0.081,0.141,0.097,0.059,0.081,0.344,belalang
0.206,0.519,0.543,0.072,0.208,0.207,0.473,0.186,0.123,0.088,0.084,0.053,0.072,0.111,0.086,0.065,0.084,0.356,belalang
0.2,0.155,0.89,0.214,0.258,0.179,0.871,0.208,0.058,0.045,0.063,0.012,0.054,0.06,0.126,0.031,0.074,0.536,tanpaserangga
0.236,0.564,0.366,0.029,0.134,0.123,0.317,0.115,0.07,0.083,0.101,0.051,0.085,0.138,0.101,0.066,0.099,0.276,belalang
0.222,0.546,0.45,0.073,0.192,0.175,0.382,0.152,0.107,0.044,0.065,0.046,0.095,0.221,0.137,0.073,0.063,0.255,belalang
0.309,0.201,0.702,0.247,0.232,0.213,0.676,0.233,0.093,0.064,0.067,0.043,0.107,0.119,0.148,0.083,0.104,0.265,tanpaserangga
0.177,0.195,0.632,0.142,0.224,0.206,0.611,0.223,0.053,0.079,0.082,0.049,0.085,0.096,0.105,0.073,0.101,0.33,tanpaserangga
0.239,0.45,0.411,0.036,0.065,0.082,0.364,0.079,0.07,0.074,0.098,0.052,0.09,0.137,0.102,0.07,0.1,0.275,belalang
0.228,0.52,0.414,0.043,0.156,0.159,0.364,0.154,0.123,0.066,0.083,0.052,0.09,0.174,0.134,0.075,0.088,0.237,belalang
0.234,0.456,0.382,0.049,0.062,0.091,0.336,0.086,0.073,0.068,0.096,0.051,0.091,0.148,0.111,0.068,0.098,0.269,belalang
0.374,0.553,0.444,0.114,0.368,0.094,0.377,0.104,0.062,0.066,0.068,0.053,0.108,0.142,0.149,0.078,0.093,0.244,tanpaserangga
0.238,0.414,0.583,0.042,0.092,0.155,0.521,0.144,0.078,0.083,0.096,0.062,0.089,0.129,0.097,0.071,0.102,0.27,belalang
0.248,0.501,0.475,0.018,0.092,0.165,0.417,0.154,0.117,0.081,0.088,0.055,0.09,0.155,0.111,0.077,0.084,0.26,belalang
0.258,0.553,0.452,0.019,0.09,0.138,0.386,0.126,0.06,0.041,0.067,0.056,0.117,0.219,0.164,0.091,0.07,0.174,belalang
0.238,0.329,0.777,0.181,0.295,0.212,0.73,0.248,0.1,0.055,0.07,0.031,0.084,0.107,0.132,0.047,0.101,0.373,tanpaserangga
0.333,0.51,0.318,0.162,0.391,0.165,0.268,0.15,0.07,0.061,0.073,0.041,0.089,0.111,0.117,0.062,0.088,0.359,tanpaserangga
0.234,0.437,0.438,0.049,0.074,0.104,0.388,0.099,0.077,0.063,0.097,0.05,0.091,0.175,0.115,0.068,0.096,0.245,belalang
0.232,0.539,0.375,0.036,0.143,0.126,0.328,0.122,0.069,0.083,0.094,0.049,0.086,0.143,0.105,0.066,0.096,0.278,belalang
0.228,0.471,0.499,0.052,0.091,0.16,0.44,0.152,0.115,0.075,0.083,0.063,0.097,0.16,0.115,0.073,0.087,0.248,belalang
0.121,0.175,0.842,0.132,0.21,0.204,0.815,0.231,0.107,0.045,0.039,0.025,0.056,0.055,0.101,0.039,0.063,0.577,tanpaserangga
0.254,0.511,0.484,0.033,0.121,0.134,0.419,0.12,0.115,0.102,0.089,0.064,0.084,0.108,0.092,0.071,0.094,0.296,belalang
0.262,0.19,0.631,0.105,0.238,0.212,0.61,0.232,0.059,0.084,0.086,0.047,0.08,0.085,0.102,0.071,0.108,0.338,tanpaserangga
0.247,0.445,0.452,0.067,0.158,0.191,0.405,0.187,0.079,0.054,0.08,0.054,0.108,0.184,0.138,0.078,0.084,0.22,belalang
0.228,0.52,0.414,0.043,0.156,0.159,0.364,0.154,0.123,0.066,0.083,0.051,0.091,0.174,0.134,0.075,0.088,0.238,belalang
0.271,0.365,0.705,0.142,0.322,0.233,0.655,0.265,0.156,0.081,0.081,0.035,0.083,0.093,0.12,0.056,0.099,0.351,tanpaserangga
0.243,0.5,0.459,0.035,0.111,0.132,0.401,0.121,0.089,0.07,0.095,0.057,0.089,0.167,0.107,0.072,0.096,0.246,belalang
0.236,0.486,0.498,0.029,0.1,0.148,0.44,0.138,0.091,0.085,0.099,0.056,0.085,0.138,0.1,0.066,0.097,0.274,belalang
0.254,0.705,0.401,0.11,0.373,0.19,0.317,0.161,0.109,0.079,0.079,0.044,0.08,0.109,0.099,0.058,0.087,0.366,tanpaserangga
0.251,0.297,0.781,0.202,0.336,0.229,0.747,0.262,0.099,0.058,0.063,0.026,0.08,0.084,0.151,0.05,0.098,0.391,tanpaserangga
0.292,0.658,0.588,0.076,0.301,0.174,0.483,0.159,0.121,0.084,0.088,0.05,0.09,0.126,0.113,0.067,0.095,0.286,tanpaserangga
0.218,0.156,0.671,0.224,0.214,0.282,0.64,0.289,0.086,0.056,0.066,0.031,0.082,0.1,0.122,0.063,0.094,0.386,tanpaserangga
0.217,0.175,0.641,0.22,0.229,0.186,0.617,0.206,0.077,0.074,0.084,0.049,0.089,0.104,0.121,0.069,0.099,0.311,tanpaserangga
0.223,0.46,0.382,0.083,0.191,0.177,0.333,0.16,0.138,0.077,0.074,0.049,0.083,0.141,0.096,0.067,0.076,0.338,belalang
0.202,0.249,0.55,0.154,0.248,0.212,0.526,0.23,0.066,0.102,0.094,0.047,0.067,0.068,0.082,0.063,0.107,0.37,tanpaserangga
0.244,0.615,0.402,0.036,0.162,0.138,0.342,0.127,0.122,0.083,0.084,0.057,0.088,0.163,0.112,0.066,0.085,0.263,belalang
0.261,0.573,0.479,0.022,0.091,0.169,0.406,0.152,0.101,0.091,0.09,0.06,0.085,0.127,0.096,0.071,0.096,0.284,belalang
0.172,0.419,0.755,0.083,0.234,0.189,0.698,0.204,0.156,0.08,0.07,0.043,0.071,0.121,0.103,0.059,0.08,0.373,belalang
0.267,0.398,0.484,0.099,0.181,0.227,0.441,0.232,0.054,0.049,0.077,0.049,0.104,0.171,0.141,0.078,0.086,0.245,belalang
0.228,0.52,0.414,0.043,0.156,0.159,0.364,0.154,0.123,0.066,0.083,0.052,0.09,0.174,0.134,0.075,0.088,0.237,belalang
0.225,0.124,0.633,0.187,0.192,0.284,0.618,0.291,0.076,0.068,0.069,0.046,0.081,0.099,0.106,0.068,0.089,0.373,tanpaserangga
0.269,0.451,0.507,0.04,0.096,0.072,0.438,0.068,0.017,0.04,0.081,0.063,0.129,0.167,0.14,0.089,0.086,0.206,belalang
0.262,0.19,0.631,0.105,0.238,0.212,0.61,0.232,0.06,0.085,0.084,0.046,0.081,0.084,0.102,0.07,0.107,0.34,tanpaserangga
0.232,0.233,0.764,0.193,0.287,0.269,0.74,0.294,0.105,0.06,0.065,0.022,0.062,0.09,0.129,0.035,0.085,0.451,tanpaserangga
0.228,0.484,0.348,0.085,0.187,0.138,0.296,0.12,0.043,0.036,0.06,0.049,0.103,0.156,0.129,0.079,0.075,0.312,belalang
0.239,0.45,0.411,0.036,0.065,0.082,0.364,0.079,0.071,0.075,0.098,0.051,0.091,0.138,0.1,0.07,0.099,0.278,belalang
0.253,0.608,0.426,0.02,0.138,0.146,0.361,0.138,0.125,0.086,0.082,0.051,0.084,0.161,0.117,0.069,0.085,0.265,belalang
0.254,0.915,0.402,0.016,0.105,0.094,0.304,0.079,0.103,0.094,0.096,0.05,0.075,0.136,0.097,0.064,0.096,0.292,belalang
0.236,0.541,0.554,0.072,0.243,0.18,0.492,0.194,0.172,0.08,0.095,0.052,0.09,0.149,0.108,0.062,0.099,0.265,tanpaserangga
0.179,0.155,0.789,0.204,0.258,0.316,0.77,0.328,0.073,0.043,0.054,0.015,0.057,0.061,0.114,0.027,0.082,0.547,tanpaserangga
0.215,0.232,0.664,0.188,0.287,0.339,0.639,0.353,0.115,0.056,0.059,0.022,0.067,0.092,0.122,0.037,0.082,0.464,tanpaserangga
0.244,0.615,0.402,0.036,0.162,0.138,0.342,0.127,0.122,0.083,0.083,0.057,0.087,0.163,0.112,0.065,0.085,0.266,belalang
0.258,0.553,0.452,0.019,0.09,0.138,0.386,0.126,0.061,0.04,0.068,0.056,0.118,0.22,0.162,0.091,0.07,0.174,belalang
0.241,0.447,0.403,0.031,0.08,0.09,0.358,0.085,0.09,0.069,0.103,0.052,0.09,0.14,0.108,0.069,0.094,0.275,belalang
